name	source	is_csp_mag	biosynth_total	biosynth_distinct	biosynth_genes_present	uptake_total	uptake_distinct	uptake_genes_present	bio_to_upt_ratio	b_otsA	b_otsB	b_treS	b_treY	b_treZ	b_treT	b_betA	b_betB	b_ectA	b_ectB	b_ectC	b_ectD	b_ino1	u_opuA	u_opuB	u_opuC	u_opuD	u_opuE	u_proV	u_proW	u_proX	u_proP	u_betT	u_osmY	u_treA	u_treB	u_treC	u_treR	u_bccT	u_betP
CSP12_V27Dr2__SemiBin_73	GSPA(TSV)	True	32	4	betA,betB,otsA,treS	4	3	opuB,opuC,treA	8.0	1	0	2	0	0	0	26	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CSP12_V30PRr1__SemiBin_7	GSPA(TSV)	True	28	3	betA,betB,treS	4	4	opuA,opuB,opuC,treA	7.0	0	0	5	0	0	0	20	3	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CSP12_V32PRr1__SemiBin_26	GSPA(TSV)	True	25	4	betA,betB,treS,treZ	1	1	treA	25.0	0	0	3	0	1	0	18	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CSP12_V38PRr3__SemiBin_38	GSPA(TSV)	True	32	4	betA,betB,treS,treZ	2	2	opuA,treA	16.0	0	0	4	0	1	0	25	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ammoniphilus_GCF_003609605.1	NCBI-PGAP	False	46	1	betA	1	1	bccT	46.0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ectobacillus_GCF_046533135.1	NCBI-PGAP	False	100	1	betA	5	5	bccT,treA,treB,treC,treR	20.0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
Herpetosiphon_GCF_001306135.1	NCBI-PGAP	False	97	4	betA,otsB,treS,treZ	1	1	treA	97.0	0	1	2	0	1	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Neobacillus_GCF_048572935.1	NCBI-PGAP	False	113	1	betA	9	4	bccT,treB,treC,treR	12.555555555555555	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	6	0
Paenibacillus_GCF_003590055.1	NCBI-PGAP	False	117	5	betA,ectA,ectB,ectC,ectD	4	4	bccT,treB,treC,treR	29.25	0	0	0	0	0	0	113	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Rubrobacter_GCF_000661895.1	NCBI-PGAP	False	62	4	betA,otsB,treS,treZ	3	2	bccT,betT	20.666666666666668	0	2	2	0	1	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
Streptomyces_GCF_003208035.1	NCBI-PGAP	False	161	8	betA,ectA,ectB,ectC,ectD,otsB,treS,treZ	1	1	proP	161.0	0	1	3	0	1	0	152	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
