genome	phylum	n_annotated_proteins	coxL_CO_dehydrogenase	NiFe_hydrogenase_large	rbcL_RuBisCO	psbA_photosystem_II	nifH_nitrogenase	amoA_pmoA_ammonia_monooxygenase	nirK_nirS_nitrite_reductase	nosZ_N2O_reductase	ureC_urease	otsA_otsB_trehalose	treY_treZ_trehalose	ectABC_ectoine	crtB_phytoene_synthase	spo0A_sporulation	phrB_photolyase	uvrA_excision_repair	recA_recombination_repair	katE_katG_catalase	sodA_superoxide_dismutase	dps_DNA_protection
05_MR59-14	unclassified	4662	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	True	True	True	True	True
07_MR59-16	unclassified	4875	False	False	False	False	False	False	False	False	True	False	True	False	False	True	True	True	True	True	True	True
10_MR59-21	unclassified	5031	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	True	True	True	True	True
11Dr3_MAGScoT_cleanbin_000003	Actinomycetota	8152	True	False	False	False	False	False	False	False	True	True	True	True	True	False	False	True	True	True	False	True
11Dr3_MAGScoT_cleanbin_000007	Actinomycetota	4138	False	False	False	False	False	False	False	False	True	True	True	True	True	False	False	True	True	True	False	True
11Dr3_MAGScoT_cleanbin_000020	Pseudomonadota	4519	True	False	True	False	False	False	False	False	True	True	True	False	True	False	False	True	True	True	True	False
11PRr3_MAGScoT_cleanbin_000009	Actinomycetota	5342	False	False	False	False	False	False	False	False	True	True	True	True	True	False	False	True	True	True	True	True
11_MR59-23	unclassified	4239	False	False	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True
13_MR59-25	unclassified	3464	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	True	True	True	True	True
14Dr3_MAGScoT_cleanbin_000001	Bdellovibrionota	2242	False	False	False	False	False	False	False	False	False	True	False	False	True	False	True	True	True	True	True	True
14Dr3_MAGScoT_cleanbin_000004	Bacteroidota	3914	False	False	False	False	False	False	True	False	False	False	True	False	False	False	True	True	True	True	True	True
14Dr3_MAGScoT_cleanbin_000013	Pseudomonadota	3862	True	False	False	False	False	False	False	False	False	True	True	False	True	False	False	True	True	True	True	True
14Dr3_MAGScoT_cleanbin_000015	Pseudomonadota	2951	True	False	False	False	False	False	False	False	False	True	False	False	True	False	True	True	True	True	True	False
14Dr3_MAGScoT_cleanbin_000022	Actinomycetota	4302	True	False	False	False	False	True	True	False	False	True	True	True	True	False	False	True	True	True	False	True
14PRr2_MAGScoT_cleanbin_000001	Bacteroidota	3116	False	False	True	False	False	False	False	False	False	True	True	False	False	False	True	True	True	True	True	True
14PRr2_MAGScoT_cleanbin_000002	Pseudomonadota	2916	False	False	False	False	False	False	False	False	False	True	False	False	True	False	True	True	True	True	True	True
14PRr2_MAGScoT_cleanbin_000003	Bacillota	2768	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	True	True	True	True
14PRr2_MAGScoT_cleanbin_000004	Bdellovibrionota	2978	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	True	True	True	True
14PRr2_MAGScoT_cleanbin_000005	Pseudomonadota	2409	False	False	False	False	False	False	False	False	False	True	False	True	True	False	False	False	True	True	True	True
14PRr2_MAGScoT_cleanbin_000006	Actinomycetota	4663	True	False	False	False	False	False	False	False	True	True	False	True	True	False	False	True	True	True	True	True
14PRr2_MAGScoT_cleanbin_000008	Pseudomonadota	3511	True	False	True	False	False	False	False	False	True	True	True	False	True	False	True	True	True	True	True	False
14PRr2_MAGScoT_cleanbin_000009	Pseudomonadota	3050	True	False	True	False	False	False	False	False	False	True	True	True	True	False	True	True	True	True	True	True
14PRr2_MAGScoT_cleanbin_000010	Pseudomonadota	3533	True	False	False	False	False	False	False	False	True	True	True	True	True	False	True	True	True	True	True	True
14PRr2_MAGScoT_cleanbin_000016	Pseudomonadota	2694	True	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	True	True
14PRr2_MAGScoT_cleanbin_000017	Bacteroidota	3300	False	False	False	False	False	False	False	False	False	True	True	False	False	False	True	True	False	True	False	True
14PRr2_MAGScoT_cleanbin_000020	Bacteroidota	2732	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True
14PRr2_MAGScoT_cleanbin_000029	Pseudomonadota	3158	False	False	False	False	False	False	False	False	True	False	True	True	True	False	True	True	True	True	True	True
15PRr2_MAGScoT_cleanbin_000001	Pseudomonadota	2968	False	False	False	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True
15PRr2_MAGScoT_cleanbin_000002	Bacteroidota	3764	False	False	False	False	False	False	True	False	False	True	True	False	False	False	False	True	True	True	True	True
15PRr2_MAGScoT_cleanbin_000003	Actinomycetota	4688	True	False	False	False	False	False	False	False	True	True	False	True	True	False	False	True	True	True	True	True
15PRr2_MAGScoT_cleanbin_000004	Pseudomonadota	3484	False	False	False	False	False	False	True	False	True	True	True	False	True	False	False	True	True	True	True	True
15PRr2_MAGScoT_cleanbin_000010	Bacillota	2912	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	True	True	False
15PRr2_MAGScoT_cleanbin_000012	Actinomycetota	2975	True	False	False	False	False	False	False	False	False	True	True	False	False	False	False	True	True	True	False	True
15_MR59-28	unclassified	4813	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	True	True	True	True
17PRr2_MAGScoT_cleanbin_000001	Pseudomonadota	3851	True	False	False	False	False	False	True	True	True	True	True	True	True	False	False	True	True	True	True	True
17PRr2_MAGScoT_cleanbin_000002	Pseudomonadota	3356	True	True	True	False	True	False	True	False	True	True	True	True	True	False	False	True	True	True	True	True
17PRr2_MAGScoT_cleanbin_000008	Pseudomonadota	3336	True	False	True	False	False	False	False	False	True	True	True	False	True	False	True	True	True	True	True	True
17PRr2_MAGScoT_cleanbin_000010	Pseudomonadota	2708	True	False	False	False	False	False	False	False	True	True	True	True	True	False	False	True	True	True	True	True
17PRr2_MAGScoT_cleanbin_000012	Pseudomonadota	5103	False	False	False	False	False	False	False	False	True	True	False	False	True	False	True	True	True	True	True	True
17PRr2_MAGScoT_cleanbin_000017	Pseudomonadota	2616	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	True	True	True	True
17PRr2_MAGScoT_cleanbin_000022	Bacillota	3875	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	True	True	True	True	True
17PRr2_MAGScoT_cleanbin_000023	Bacillota	3455	True	False	False	False	False	False	False	False	False	False	False	True	False	True	True	True	True	True	True	True
17PRr2_MAGScoT_cleanbin_000024	Pseudomonadota	3774	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True	True	True	True	True	True
17PRr2_MAGScoT_cleanbin_000028	Pseudomonadota	3587	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True	True	True	True	True	True
17PRr2_MAGScoT_cleanbin_000034	Pseudomonadota	3734	True	False	False	False	False	False	False	False	True	True	True	False	True	False	True	True	True	True	True	False
18PRr2_MAGScoT_cleanbin_000001	Pseudomonadota	2717	False	False	False	False	False	False	False	False	True	True	True	False	True	False	True	True	True	True	True	True
18PRr2_MAGScoT_cleanbin_000005	Bacillota	3064	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	True	True	True
18PRr2_MAGScoT_cleanbin_000008	Pseudomonadota	4304	False	False	False	False	False	False	False	False	True	True	True	False	True	False	True	True	True	True	True	True
18_MR59-34	unclassified	3823	False	False	False	False	False	False	False	False	True	False	False	True	False	True	True	True	True	True	True	True
