trait	category	description	kos	n_genomes_with_trait	fraction_of_genomes	leading_carrier_phyla	mean_share_surface	n_libraries_surface	mean_share_shallow_subsurface	n_libraries_shallow_subsurface	mean_share_root_adjacent	n_libraries_root_adjacent	mean_share_all_libraries
coxL_CO_dehydrogenase	trace gas	aerobic CO dehydrogenase large subunit (coxL)	K03520	375	0.3846153846	Actinomycetota 170; Pseudomonadota 105; Chloroflexota 27; Acidobacteriota 16	0.4376018219	27	0.4554471478	44	0.4035951875	79	0.42492629
NiFe_hydrogenase_large	trace gas	[NiFe]-hydrogenase large subunit (group 1/1h KOs hyaB, hhyL, hoxH)	K06281,K18008,K00436	220	0.2256410256	Actinomycetota 126; Pseudomonadota 18; Chloroflexota 17; Planctomycetota 15	0.1718288219	27	0.3185509762	44	0.1502933528	79	0.2035253067
rbcL_RuBisCO	carbon fixation	RuBisCO large subunit (rbcL/cbbL)	K01601	240	0.2461538462	Actinomycetota 90; Pseudomonadota 77; Bacteroidota 27; Chloroflexota 12	0.1818384556	27	0.2413984011	44	0.181432677	79	0.1990956629
psbA_photosystem_II	carbon fixation	photosystem II D1 protein (psbA)	K02703	2	0.002051282051	Pseudomonadota 1; Actinomycetota 1	0.000678250061	27	0.00214057899	44	0.001022929824	79	0.001288731222
nifH_nitrogenase	nitrogen	nitrogenase iron protein (nifH)	K02588	10	0.01025641026	Pseudomonadota 3; Myxococcota 2; Bacillota 2; Acidobacteriota 1	0.005449637533	27	0.003083340257	44	0.007794262277	79	0.005990359364
amoA_pmoA_ammonia_monooxygenase	nitrogen	ammonia/methane monooxygenase subunit A (amoA/pmoA)	K10944	32	0.03282051282	Actinomycetota 16; Thermoproteota 11; Pseudomonadota 4; Gemmatimonadota 1	0.03273269887	27	0.04733794619	44	0.0193565522	79	0.02997213417
nirK_nirS_nitrite_reductase	nitrogen	dissimilatory nitrite reductase (nirK, nirS)	K00368,K15864	316	0.3241025641	Actinomycetota 149; Pseudomonadota 44; Bacteroidota 36; Chloroflexota 27	0.3062218105	27	0.3876373318	44	0.2305939488	79	0.2902730229
nosZ_N2O_reductase	nitrogen	nitrous-oxide reductase (nosZ)	K00376	40	0.04102564103	Pseudomonadota 14; Bacteroidota 12; Thermoplasmatota 2; Myxococcota 2	0.05066322757	27	0.03967428151	44	0.02220340855	79	0.03245096538
ureC_urease	nitrogen	urease alpha subunit (ureC)	K01428	304	0.3117948718	Pseudomonadota 132; Actinomycetota 82; Myxococcota 15; Bacteroidota 14	0.2404250529	27	0.2789712039	44	0.3525648536	79	0.3107922189
otsA_otsB_trehalose	osmolyte	trehalose synthesis (otsA, otsB)	K00697,K01087	709	0.7271794872	Actinomycetota 336; Pseudomonadota 215; Bacteroidota 37; Chloroflexota 34	0.8559968276	27	0.8898829759	44	0.8383210084	79	0.8566274996
treY_treZ_trehalose	osmolyte	trehalose from maltooligosaccharides (treY, treZ)	K06044,K01236	683	0.7005128205	Actinomycetota 258; Pseudomonadota 184; Bacteroidota 93; Planctomycetota 38	0.7426808383	27	0.7906162179	44	0.7646549991	79	0.768314941
ectABC_ectoine	osmolyte	ectoine synthesis (ectA, ectB, ectC)	K06718,K00836,K06720	355	0.3641025641	Actinomycetota 145; Pseudomonadota 92; Bacteroidota 16; Bacillota 15	0.2592810782	27	0.2797877579	44	0.3131904208	79	0.2936886247
crtB_phytoene_synthase	pigment	phytoene synthase (crtB), carotenoid pigments	K02291	481	0.4933333333	Pseudomonadota 199; Actinomycetota 136; Planctomycetota 31; Chloroflexota 16	0.6064301258	27	0.5266168216	44	0.533628813	79	0.5446761985
spo0A_sporulation	dormancy	sporulation master regulator (spo0A)	K07699	71	0.07282051282	Bacillota 41; unclassified 16; Actinomycetota 7; Chloroflexota 2	0.05058834069	27	0.04285968626	44	0.07503320303	79	0.06119556289
phrB_photolyase	DNA repair	deoxyribodipyrimidine photolyase (phrB)	K01669	230	0.2358974359	Pseudomonadota 71; Actinomycetota 61; Bacteroidota 38; unclassified 12	0.344778406	27	0.1781103295	44	0.2603083408	79	0.2514015359
uvrA_excision_repair	DNA repair	UvrABC system protein A (uvrA)	K03701	922	0.9456410256	Actinomycetota 324; Pseudomonadota 220; Bacteroidota 103; Bacillota 50	0.9324388569	27	0.9198460848	44	0.9380707666	79	0.9317111162
recA_recombination_repair	DNA repair	recombinase A (recA)	K03553	899	0.9220512821	Actinomycetota 324; Pseudomonadota 239; Bacteroidota 99; Bacillota 50	0.8890956226	27	0.9091635346	44	0.9241303625	79	0.9134338398
katE_katG_catalase	oxidative stress	catalase (katE) and catalase-peroxidase (katG)	K03781,K03782	755	0.7743589744	Actinomycetota 266; Pseudomonadota 201; Bacteroidota 97; Bacillota 45	0.867167799	27	0.7630514615	44	0.8405422738	79	0.82260423
sodA_superoxide_dismutase	oxidative stress	Fe/Mn superoxide dismutase (sodA)	K04564	807	0.8276923077	Pseudomonadota 238; Actinomycetota 206; Bacteroidota 102; Bacillota 47	0.6842561666	27	0.6739267638	44	0.7879254036	79	0.7358253399
dps_DNA_protection	oxidative stress	DNA protection during starvation protein (dps)	K04047	635	0.6512820513	Actinomycetota 177; Pseudomonadota 168; Bacteroidota 92; Bacillota 43	0.5820155751	27	0.4731451624	44	0.694657484	79	0.6094049928
