genus	surface	shallow_subsurface	root_adjacent	phylum
Compostibacillus	0.01666666667	0.03333333333	0	Bacillota
Crinalium SAG 22.89	0.03333333333	0	0	Cyanobacteriota
Desulfocucumis	0	0	0	Bacillota
Dialister	0.01666666667	0	0	Bacillota
Echinicola	0	0	0	Bacteroidota
Eremococcus	0.01666666667	0	0	Bacillota
Ferruginibacter	0	0	0	Bacteroidota
Halalkalibacillus	0	0	0	Bacillota
Halorientalis	0	0.01666666667	0	Halobacteriota
Hazenella	0.01666666667	0	0	Bacillota
Herminiimonas	0	0	0	Pseudomonadota
Hyphobacterium	0	0	0	Pseudomonadota
Indiicoccus	0	0	0	Bacillota
Irregularibacter	0	0	0	Bacillota
Lacibacterium	0	0	0	Pseudomonadota
Limisphaera	0	0	0	Verrucomicrobiota
Lutispora	0	0	0	Bacillota
M2PB4-61 termite group	0	0	0	Bacteroidota
MM1	0	0	0	Pseudomonadota
Methylophilus	0	0	0	Pseudomonadota
Microcoleus SAG 1449-1a	0	0	0	Cyanobacteriota
Microlunatus	0	0.01666666667	0	Actinomycetota
Miniimonas	0	0.01666666667	0	Actinomycetota
NS5 marine group	0	0	0	Bacteroidota
Negativibacillus	0	0	0	Bacillota
Nodosilinea PCC-7104	0	0	0	Cyanobacteriota
Oxobacter	0	0	0	Bacillota
Panacibacter	0	0	0	Bacteroidota
Paraflavitalea	0.01666666667	0	0	Bacteroidota
Paramesorhizobium	0	0.01666666667	0	Pseudomonadota
Pararcticibacter	0	0	0	Bacteroidota
Prevotellaceae UCG-001	0	0	0	Bacteroidota
Racemicystis	0	0	0	Myxococcota
Rhizomicrobium	0	0	0	Pseudomonadota
Rhodobium	0	0	0	Pseudomonadota
Rikenellaceae RC9 gut group	0	0	0	Bacteroidota
Roseateles	0.01666666667	0.03333333333	0	Pseudomonadota
Ruminococcus	0.01666666667	0	0	Bacillota
Salibacter	0	0	0	Bacteroidota
Saliphagus	0	0	0	Halobacteriota
Sediminibacterium	0	0	0	Bacteroidota
Solibacillus	0.03333333333	0.03333333333	0	Bacillota
TM7x	0	0	0	Patescibacteria
Tabrizicola	0	0	0	Pseudomonadota
Tatumella	0	0.01666666667	0	Pseudomonadota
Tetragenococcus	0	0	0	Bacillota
Thermanaerothrix	0	0	0	Chloroflexota
Tropicibacter	0	0	0	Pseudomonadota
Tundrisphaera	0.05	0.01666666667	0	Planctomycetota
Aciditerrimonas	0	0.01666666667	0	Actinomycetota
Anaeromicropila	0	0	0	Bacillota
Brumimicrobium	0	0.03333333333	0	Bacteroidota
CENA518	0	0	0	Cyanobacteriota
Candidatus Branchiomonas	0	0	0	Pseudomonadota
Candidatus Endoecteinascidia	0	0	0	Pseudomonadota
Candidatus Megaira	0.01666666667	0.01666666667	0	Pseudomonadota
Chryseoglobus	0	0	0	Actinomycetota
Dapisostemonum CCIBt 3536	0	0	0	Cyanobacteriota
Desulfallas	0	0	0	Bacillota
Desulfotomaculum	0.06666666667	0	0	Bacillota
Fermentibacillus	0	0.01666666667	0	Bacillota
GTL1	0	0	0	Patescibacteria
Halorubrum	0	0.03333333333	0	Halobacteriota
Janthinobacterium	0.01666666667	0	0	Pseudomonadota
Labilithrix	0	0	0	Myxococcota
Lederbergia	0.03333333333	0	0	Bacillota
Lihuaxuella	0	0	0	Bacillota
Lysinimonas	0	0	0	Actinomycetota
Marivita	0	0	0	Pseudomonadota
Mastigocladopsis PCC-10914	0	0.03333333333	0	Cyanobacteriota
Niveitalea	0	0	0	Bacteroidota
Nostoc PCC-73102	0.01666666667	0.01666666667	0	Cyanobacteriota
Oikopleura	0.01666666667	0	0	Verrucomicrobiota
Orrella	0	0	0	Pseudomonadota
Pir3 lineage	0	0	0	Planctomycetota
Planobispora	0	0	0	Actinomycetota
Psychrobacter	0	0.03333333333	0	Pseudomonadota
Salibaculum	0.01666666667	0.01666666667	0	Pseudomonadota
Syntrophobacter	0	0	0	Thermodesulfobacteriota
Terrisporobacter	0	0	0	Bacillota
Thermoflavimicrobium	0	0.01666666667	0	Bacillota
Variibacter	0	0	0	Pseudomonadota
Variovorax	0	0	0	Pseudomonadota
Vitiosangium	0	0	0	Myxococcota
Anaerobacterium	0	0	0	Bacillota
Anaerococcus	0	0	0	Bacillota
Anaerotaenia	0	0	0	Bacillota
Beutenbergia	0.03333333333	0	0	Actinomycetota
Breznakia	0	0	0	Bacillota
Candidatus Nostocoida	0.03333333333	0	0	Planctomycetota
Candidatus Obscuribacter	0	0	0	Cyanobacteriota
Catellicoccus	0	0	0	Bacillota
Desulfuribacillus	0	0	0	Bacillota
Dinoroseobacter	0	0	0	Pseudomonadota
Falsibacillus	0.01666666667	0	0	Bacillota
Filifactor	0	0	0	Bacillota
Flaviflexus	0	0	0	Actinomycetota
Francisella	0	0	0	Pseudomonadota
Gordonia	0.01666666667	0	0	Actinomycetota
Halovivax	0	0	0	Halobacteriota
Humidesulfovibrio	0	0.01666666667	0	Thermodesulfobacteriota
Lachnospiraceae NK4B4 group	0	0	0	Bacillota
Limimaricola	0	0.01666666667	0	Pseudomonadota
Methylocystis	0	0	0	Pseudomonadota
Methyloligella	0	0	0	Pseudomonadota
Persicitalea	0.01666666667	0	0	Bacteroidota
Propionicicella	0	0	0	Actinomycetota
Rhodopila	0.01666666667	0	0	Pseudomonadota
Rickettsia	0	0	0	Pseudomonadota
Roseibium	0.1	0.06666666667	0	Pseudomonadota
Siccibacter	0	0	0	Pseudomonadota
Sphingopyxis	0.06666666667	0.05	0	Pseudomonadota
Synechococcus	0	0	0	Cyanobacteriota
Tepidimicrobium	0	0	0	Bacillota
Thermoclostridium	0	0	0	Bacillota
Thermomonospora	0.01666666667	0.01666666667	0	Actinomycetota
Thioalkalivibrio	0	0	0	Pseudomonadota
[Aquaspirillum] arcticum group	0.03333333333	0.01666666667	0	Pseudomonadota
ADurb.Bin118	0	0	0	Verrucomicrobiota
Actinocatenispora	0	0.01666666667	0	Actinomycetota
Aminiphilus	0	0	0	Synergistota
Aquincola	0	0	0	Pseudomonadota
Asaccharospora	0	0	0	Bacillota
Caldanaerobius	0	0	0	Bacillota
Cardiobacterium	0	0	0	Pseudomonadota
Couchioplanes	0	0	0	Actinomycetota
Cryptanaerobacter	0	0	0	Bacillota
Curvibacter	0	0	0	Pseudomonadota
Dolosigranulum	0.05	0.05	0	Bacillota
Fluviispira	0	0	0	Bdellovibrionota
Fonticella	0.05	0.03333333333	0	Bacillota
Gabonibacter	0	0	0	Bacteroidota
Hylemonella	0	0	0	Pseudomonadota
Ideonella	0	0	0	Pseudomonadota
Izhakiella	0	0	0	Pseudomonadota
Kerstersia	0	0	0	Pseudomonadota
Kineobactrum	0	0	0	Pseudomonadota
Kytococcus	0.01666666667	0.01666666667	0	Actinomycetota
Leptolyngbya PCC-6306	0.01666666667	0	0	Cyanobacteriota
Martelella	0	0	0	Pseudomonadota
Oceanibaculum	0	0	0	Pseudomonadota
Odoribacter	0	0	0	Bacteroidota
Parasediminibacterium	0	0	0	Bacteroidota
Pedococcus-Phycicoccus	0.01666666667	0.01666666667	0	Actinomycetota
Peptostreptococcus	0	0	0	Bacillota
Phormidium SAG 37.90	0	0	0	Cyanobacteriota
Pueribacillus	0	0	0	Bacillota
Rummeliibacillus	0	0	0	Bacillota
Sarcina	0	0	0	Bacillota
Tengunoibacter	0	0	0	Chloroflexota
Thermoactinomyces	0.01666666667	0.01666666667	0	Bacillota
Thermosinus	0	0	0	Bacillota
UTCFX1	0	0	0	Chloroflexota
Xylophilus	0	0	0	Pseudomonadota
Aeribacillus	0.03333333333	0	0	Bacillota
Aerococcus	0.03333333333	0	0	Bacillota
Alkalihalobacterium	0	0	0	Bacillota
Anoxybacter	0	0	0	Halanaerobiaeota
Antribacter	0	0	0	Actinomycetota
Arhodomonas	0	0	0	Pseudomonadota
Azorhizobium	0.01666666667	0	0	Pseudomonadota
Blautia	0	0	0	Bacillota
Candidatus Amoebophilus	0.01666666667	0	0	Bacteroidota
Candidatus Mesochlamydia	0	0	0	Chlamydiota
Capnocytophaga	0.03333333333	0.01666666667	0	Bacteroidota
Ciceribacter	0	0.03333333333	0	Pseudomonadota
Demequina	0.01666666667	0.05	0	Actinomycetota
Derxia	0.03333333333	0.01666666667	0	Pseudomonadota
Erysipelothrix	0	0	0	Bacillota
Facklamia	0	0	0	Bacillota
Halorhabdus	0	0.01666666667	0	Halobacteriota
Halothiobacillus	0.01666666667	0	0	Pseudomonadota
Lachnospiraceae NC2004 group	0	0	0	Bacillota
Microcoleus Es-Yyy1400	0	0	0	Cyanobacteriota
Muricoccus	0	0	0	Pseudomonadota
Pelagerythrobacter	0	0	0	Pseudomonadota
Pseudoleptotrichia	0	0	0	Fusobacteriota
RS25G	0	0	0	Verrucomicrobiota
Rhizocola	0	0	0	Actinomycetota
Silvibacterium	0	0	0	Acidobacteriota
Sporolactobacillus	0	0.01666666667	0	Bacillota
Thermoactinospora	0	0	0	Actinomycetota
UCG-005	0	0	0	Bacillota
Acetivibrio	0.01666666667	0.01666666667	0	Bacillota
Acrocarpospora	0.01666666667	0.05	0	Actinomycetota
Ancylobacter	0	0	0	Pseudomonadota
Bacteriovorax	0	0	0	Bdellovibrionota
Caldicoprobacter	0	0	0	Bacillota
Candidatus Chlorothrix	0	0	0	Chloroflexota
Candidatus Trichorickettsia	0.03333333333	0	0	Pseudomonadota
Centipeda	0	0	0	Bacillota
Chryseotalea	0	0	0	Bacteroidota
Desulfohalotomaculum	0	0	0	Bacillota
Epulopiscium	0	0	0	Bacillota
Fervidobacterium	0	0	0	Thermotogota
Jhaorihella	0	0	0	Pseudomonadota
Kordiimonas	0	0	0	Pseudomonadota
Leptothrix	0.03333333333	0.01666666667	0	Pseudomonadota
Lewinella	0	0	0	Bacteroidota
Lolliginicoccus	0	0.01666666667	0	Actinomycetota
Marinicaulis	0	0.06666666667	0	Pseudomonadota
Meiothermus	0.03333333333	0	0	Deinococcota
Melghirimyces	0.01666666667	0	0	Bacillota
Muricauda	0	0.03333333333	0	Bacteroidota
Nostoc PCC-7107	0.01666666667	0.01666666667	0	Cyanobacteriota
Oscillochloris	0	0	0	Chloroflexota
Planotetraspora	0	0	0	Actinomycetota
Pseudanabaena NgrPSln22	0	0	0	Cyanobacteriota
Renibacterium	0	0.01666666667	0	Actinomycetota
Simplicispira	0	0	0	Pseudomonadota
Solimicrobium	0	0	0	Pseudomonadota
Thermogemmatispora	0	0	0	Chloroflexota
Thermomonas	0	0	0	Pseudomonadota
possible genus 05	0	0	0	Fibrobacterota
Aggregatibacter	0	0.01666666667	0	Pseudomonadota
Alteromonas	0	0	0	Pseudomonadota
Blastomonas	0.01666666667	0	0	Pseudomonadota
Candidatus Endonucleariobacter	0	0	0	Pseudomonadota
Candidatus Metachlamydia	0	0	0	Chlamydiota
Coralloluteibacterium	0	0	0	Pseudomonadota
Crenalkalicoccus	0	0	0	Pseudomonadota
Desulfotruncus	0	0	0	Bacillota
Dyella	0	0	0	Pseudomonadota
F1-37X2	0	0	0	Balneolota
Ferritrophicum	0	0	0	Pseudomonadota
Gimesia	0	0	0	Planctomycetota
HN-HF0106	0	0	0	Bacillota
Haloarchaeobius	0	0	0	Halobacteriota
Hassallia	0	0	0	Bacteroidota
Jeotgalicoccus	0.01666666667	0	0	Bacillota
Knoellia	0	0	0	Actinomycetota
Ligilactobacillus	0	0	0	Bacillota
Methanomassiliicoccus	0	0	0	Thermoplasmatota
P3OB-51	0	0	0	Pseudomonadota
Proteiniborus	0	0	0	Bacillota
Ralstonia	0.01666666667	0	0	Pseudomonadota
Rhodopseudomonas	0	0	0	Pseudomonadota
Streptacidiphilus	0	0	0	Actinomycetota
Weissella	0	0.03333333333	0	Bacillota
Akkermansia	0.01666666667	0	0	Verrucomicrobiota
Aliibacillus	0.01666666667	0.01666666667	0	Bacillota
Atopostipes	0.01666666667	0.01666666667	0	Bacillota
Belliella	0	0	0	Bacteroidota
Chitinispirillum	0	0	0	Fibrobacterota
Cryomorpha	0.01666666667	0.03333333333	0	Bacteroidota
Dehalobacterium	0	0	0	Bacillota
HIMB11	0.03333333333	0	0	Pseudomonadota
Halanaerobium	0	0	0	Halanaerobiaeota
Halorubellus	0	0	0	Halobacteriota
Hoylesella	0	0	0	Bacteroidota
Lentimicrobium	0.08333333333	0.03333333333	0	Bacteroidota
Marinomonas	0	0	0	Pseudomonadota
Roseivirga	0	0	0	Bacteroidota
Rubricoccus	0	0	0	Rhodothermota
SN8	0.05	0	0	Pseudomonadota
Scardovia	0	0	0	Actinomycetota
Selenomonas	0	0	0	Bacillota
Spirosoma	0	0.01666666667	0	Bacteroidota
Thermoflexus	0	0.01666666667	0	Chloroflexota
UCG-012	0	0	0	Bacillota
Winogradskyella	0	0	0	Bacteroidota
[Eubacterium] yurii group	0	0	0	Bacillota
Acetonema	0	0	0	Bacillota
Agrococcus	0.01666666667	0.03333333333	0	Actinomycetota
Anaerolinea	0	0	0	Chloroflexota
Armatimonas	0.03333333333	0.01666666667	0	Armatimonadota
Berryella	0	0	0	Actinomycetota
Byssovorax	0	0	0	Myxococcota
Clade Ib	0	0	0	Pseudomonadota
Desulfitibacter	0.01666666667	0	0	Bacillota
Desulfoscipio	0	0	0	Bacillota
Fuscovulum	0.01666666667	0.01666666667	0	Pseudomonadota
Harryflintia	0	0	0	Bacillota
Lachnoanaerobaculum	0	0	0	Bacillota
Lachnospiraceae NK3A20 group	0	0	0	Bacillota
Lacticaseibacillus	0	0	0	Bacillota
Novibacillus	0	0	0	Bacillota
Ottowia	0.03333333333	0.03333333333	0	Pseudomonadota
Oxynema BDU 92071	0	0	0	Cyanobacteriota
Polymorphum	0	0	0	Pseudomonadota
Rickettsiella	0	0	0	Pseudomonadota
Schumannella	0	0	0	Actinomycetota
Streptantibioticus	0	0	0	Actinomycetota
Synechococcus CC9902	0	0	0	Cyanobacteriota
Thermicanus	0.01666666667	0	0	Bacillota
Zoogloea	0	0	0	Pseudomonadota
Aestuariimicrobium	0	0	0	Actinomycetota
Aminipila	0	0	0	Bacillota
Caldibacillus	0.01666666667	0.03333333333	0	Bacillota
Candidatus Paenicardinium	0	0	0	Bacteroidota
Comamonas	0	0	0	Pseudomonadota
Croceifilum	0.01666666667	0.01666666667	0	Bacillota
Flavimobilis	0.05	0	0	Actinomycetota
GW2011_GWC1_47_15	0	0	0	Nanoarchaeota
Halostella	0	0	0	Halobacteriota
Lachnospiraceae NK4A136 group	0	0	0	Bacillota
MWH-Ta3	0	0	0	Actinomycetota
Microbaculum	0	0	0	Pseudomonadota
Natribacillus	0	0	0	Bacillota
Nisaea	0	0	0	Pseudomonadota
Phytomonospora	0	0	0	Actinomycetota
Pseudogracilibacillus	0.01666666667	0	0	Bacillota
Rhabdanaerobium	0	0	0	Bacillota
Segatella	0	0	0	Bacteroidota
Anaerovorax	0	0	0	Bacillota
Gilvimarinus	0	0	0	Pseudomonadota
Halobaculum	0	0	0	Halobacteriota
Mixta	0	0	0	Pseudomonadota
Mogibacterium	0	0	0	Bacillota
Plot4-2H12	0	0	0	Pseudomonadota
Salilacibacter	0	0.03333333333	0	Actinomycetota
Salinithrix	0	0	0	Bacillota
Tannerella	0	0	0	Bacteroidota
Tolypothrix	0.01666666667	0	0	Cyanobacteriota
UCG-001	0	0	0	Bacillota
hgcI clade	0	0	0	Actinomycetota
Adlercreutzia	0	0	0	Actinomycetota
Anaeroplasma	0	0	0	Bacillota
Auricoccus-Abyssicoccus	0	0	0	Bacillota
Clade Ia	0	0	0	Pseudomonadota
Cyanothece PCC 7425	0.01666666667	0	0	Cyanobacteriota
Desulfitobacterium	0	0	0	Bacillota
Euryhalocaulis	0	0.01666666667	0	Pseudomonadota
Luteibaculum	0.01666666667	0	0	Bacteroidota
Shewanella	0	0	0	Pseudomonadota
Sulfurihydrogenibium	0	0	0	Aquificota
Tractidigestivibacter	0	0	0	Actinomycetota
UCG-002	0	0	0	Bacillota
[Rhizobium] sphaerophysae group	0	0	0	Pseudomonadota
Acidiphilium	0	0	0	Pseudomonadota
Aquabacter	0	0	0	Pseudomonadota
Aurantiacibacter	0	0	0	Pseudomonadota
Candidatus Allobeggiatoa	0	0	0	Pseudomonadota
Catellatospora	0	0	0	Actinomycetota
Hornefia	0	0	0	Bacillota
Hydrogenophaga	0	0.01666666667	0	Pseudomonadota
Kineothrix	0	0	0	Bacillota
Labedaea	0	0	0	Actinomycetota
Oceanobacter	0	0.01666666667	0	Pseudomonadota
Sandarakinorhabdus	0	0	0	Pseudomonadota
Sediminispirochaeta	0	0	0	Spirochaetota
Thermincola	0	0.01666666667	0	Bacillota
Thermosporothrix	0	0	0	Chloroflexota
Wolbachia	0.05	0.01666666667	0	Pseudomonadota
Ac37b	0	0	0	Pseudomonadota
CM1G08	0	0.01666666667	0	Pseudomonadota
Candidatus Symbiobacter	0	0	0	Pseudomonadota
Dendrosporobacter	0	0	0	Bacillota
Desulfatiglans	0	0.01666666667	0	Thermodesulfobacteriota
Desulfitispora	0	0	0	Bacillota
Desulfosporosinus	0	0	0	Bacillota
Fontibacter	0	0	0	Bacteroidota
Haloprofundus	0	0	0	Halobacteriota
Lentimonas	0	0	0	Verrucomicrobiota
Mediterraneibacter	0	0	0	Bacillota
Moheibacter	0.05	0	0	Bacteroidota
Natranaerovirga	0	0	0	Bacillota
Orenia	0	0	0	Halanaerobiaeota
Paenarthrobacter	0	0	0	Actinomycetota
Salipaludibacillus	0	0	0	Bacillota
Schnuerera	0	0	0	Bacillota
Sulfuricaulis	0	0	0	Pseudomonadota
Branchiibius	0	0	0	Actinomycetota
Candidatus Lariskella	0	0	0	Pseudomonadota
Halobiforma	0	0	0	Halobacteriota
Natronincola	0	0	0	Bacillota
Scopulibacillus	0	0	0	Bacillota
Sporobacter	0	0	0	Bacillota
Syntrophaceticus	0	0	0	Bacillota
[Eubacterium] brachy group	0	0	0	Bacillota
Candidatus Babela	0	0	0	Dependentiae
Defluviimonas	0	0	0	Pseudomonadota
Desulfoglaeba	0	0	0	Thermodesulfobacteriota
Desulfonispora	0	0	0	Bacillota
Fretibacterium	0	0	0	Synergistota
HAVOmat113	0	0	0	Cyanobacteriota
Halogranum	0	0	0	Halobacteriota
Nostoc BDU-40302	0	0.01666666667	0	Cyanobacteriota
Rahnella	0.1	0.03333333333	0	Pseudomonadota
Serinicoccus	0	0	0	Actinomycetota
Synechococcus IR11	0	0	0	Cyanobacteriota
Xanthomonas	0	0	0	Pseudomonadota
Allomeiothermus	0	0	0	Deinococcota
Apilactobacillus	0.01666666667	0	0	Bacillota
Nodularia PCC-9350	0	0	0	Cyanobacteriota
Pseudokineococcus	0.05	0.01666666667	0	Actinomycetota
Salinigranum	0	0	0	Halobacteriota
Serinibacter	0	0	0	Actinomycetota
Spirilliplanes	0	0	0	Actinomycetota
Sporacetigenium	0.01666666667	0.01666666667	0	Bacillota
Zavarzinia	0	0	0	Pseudomonadota
Acetoanaerobium	0	0.01666666667	0	Bacillota
Aequorivita	0	0	0	Bacteroidota
Desulfomonile	0.01666666667	0	0	Thermodesulfobacteriota
Desulfovirga	0	0	0	Thermodesulfobacteriota
Flexibacter	0	0	0	Bacteroidota
Geosporobacter	0	0	0	Bacillota
Hamadaea	0	0	0	Actinomycetota
Negativicoccus	0	0	0	Bacillota
Planifilum	0.01666666667	0.01666666667	0	Bacillota
TX1A-55	0	0	0	Pseudomonadota
Xanthobacter	0.03333333333	0.05	0	Pseudomonadota
[Eubacterium] tenue group	0	0	0	Bacillota
Aminicenans	0	0	0	Acidobacteriota
Azonexus	0	0	0	Pseudomonadota
Bergeyella	0.01666666667	0	0	Bacteroidota
Dorea	0	0	0	Bacillota
Geobacter	0	0	0	Thermodesulfobacteriota
Maricaulis	0	0	0	Pseudomonadota
Salinispora	0	0	0	Actinomycetota
Alkalispirillum	0	0	0	Pseudomonadota
Anaerospora	0	0	0	Bacillota
Brevifollis	0	0	0	Verrucomicrobiota
Bryocella	0	0	0	Acidobacteriota
Candidatus Dichloromethanomonas	0	0	0	Bacillota
Chiayiivirga	0	0	0	Pseudomonadota
Gardnerella	0.01666666667	0	0	Actinomycetota
Janibacter	0	0	0	Actinomycetota
Propionispora	0	0	0	Bacillota
Skermania	0.01666666667	0	0	Actinomycetota
Thermotunica	0	0	0	Actinomycetota
Thiofilum	0	0	0	Pseudomonadota
Xylella	0	0	0	Pseudomonadota
Agathobacter	0	0	0	Bacillota
Ascidiimonas	0	0	0	Bacteroidota
Brachymonas	0	0.01666666667	0	Pseudomonadota
Desulfovectis	0	0	0	Bacillota
Eikenella	0	0.01666666667	0	Pseudomonadota
Haoranjiania	0	0	0	Bacteroidota
Leptospirillum	0	0	0	Nitrospirota
Pseudoflavonifractor	0	0	0	Bacillota
Rs-H88 termite group	0	0	0	Spirochaetota
Tepidimonas	0.1166666667	0.01666666667	0	Pseudomonadota
Thermobrachium	0.03333333333	0	0	Bacillota
Tsuneonella	0	0	0	Pseudomonadota
Zag_111	0	0	0	Cyanobacteriota
Anaerobutyricum	0	0	0	Bacillota
Balneola	0	0	0	Balneolota
Candidatus Electronema	0	0	0	Thermodesulfobacteriota
Candidatus Profftella	0	0	0	Pseudomonadota
Candidatus Turbabacter	0	0	0	Bdellovibrionota
Cerasibacillus	0	0	0	Bacillota
Ethanoligenens	0.05	0.01666666667	0	Bacillota
Geomonas	0	0	0	Thermodesulfobacteriota
Melaminivora	0	0	0	Pseudomonadota
Paracraurococcus	0	0	0	Pseudomonadota
Piscinibacterium	0	0	0	Pseudomonadota
Proteus	0	0	0	Pseudomonadota
Salinirubrum	0	0	0	Halobacteriota
Shuttleworthia	0	0	0	Bacillota
Sinomicrobium	0	0	0	Bacteroidota
Sphingosinicella	0	0	0	Pseudomonadota
Xylanibacter	0	0	0	Bacteroidota
Aurantimicrobium	0	0	0	Actinomycetota
Candidatus Odyssella	0	0	0	Pseudomonadota
Chujaibacter	0	0	0	Pseudomonadota
EcFYyy-200	0	0	0	Cyanobacteriota
Flavihumibacter	0	0	0	Bacteroidota
Hydrogenophilus	0	0	0	Pseudomonadota
Kingella	0	0	0	Pseudomonadota
Lichenibacterium	0	0	0	Pseudomonadota
Rubrimonas	0	0	0	Pseudomonadota
Sandaracinomonas	0	0	0	Bacteroidota
Scytonema UTEX 2349	0.01666666667	0	0	Cyanobacteriota
Sporomusa	0	0	0	Bacillota
Candidimonas	0	0	0	Pseudomonadota
Castellaniella	0	0	0	Pseudomonadota
Family XIII AD3011 group	0	0	0	Bacillota
Gallaecimonas	0	0	0	Pseudomonadota
Halapricum	0	0	0	Halobacteriota
Kroppenstedtia	0	0	0	Bacillota
Lachnospiraceae ND3007 group	0	0	0	Bacillota
Lacticigenium	0	0	0	Bacillota
Lapillicoccus	0.01666666667	0.03333333333	0	Actinomycetota
Symplocastrum CPER-KK1	0.03333333333	0	0	Cyanobacteriota
[Eubacterium] siraeum group	0	0	0	Bacillota
Candidatus Anadelfobacter	0	0	0	Pseudomonadota
Chryseomicrobium	0	0	0	Bacillota
Cyclobacterium	0	0	0	Bacteroidota
Fischerella CENA298	0	0	0	Cyanobacteriota
Halovibrio	0	0	0	Pseudomonadota
Longimycelium	0	0	0	Actinomycetota
Prochlorococcus MIT9313	0	0	0	Cyanobacteriota
Sanguibacter	0	0	0	Actinomycetota
Siminovitchia	0	0	0	Bacillota
Azomonas	0	0	0	Pseudomonadota
Caloramator	0	0	0	Bacillota
Candidatus Gigarickettsia	0	0	0	Pseudomonadota
Clavibacter	0	0.01666666667	0	Actinomycetota
Enterocloster	0	0	0	Bacillota
Estrella	0	0	0	Chlamydiota
Geobacillus	0	0.01666666667	0	Bacillota
Methylovorus	0	0	0	Pseudomonadota
Niveispirillum	0.03333333333	0.03333333333	0	Pseudomonadota
Paeniglutamicibacter	0	0	0	Actinomycetota
Parabacteroides	0	0	0	Bacteroidota
Segniliparus	0	0	0	Actinomycetota
Thomasclavelia	0	0	0	Bacillota
Victivallis	0	0	0	Verrucomicrobiota
Alteraurantiacibacter	0	0	0	Pseudomonadota
Barrientosiimonas	0	0	0	Actinomycetota
Bilophila	0	0	0	Thermodesulfobacteriota
Caminicella	0	0	0	Bacillota
Candidatus Nitrosotenuis	0	0	0	Thermoproteota
Dermabacter	0.01666666667	0	0	Actinomycetota
Jonesia	0	0	0	Actinomycetota
Planosporangium	0	0.03333333333	0	Actinomycetota
Rurimicrobium	0	0	0	Bacteroidota
Candidatus Actinomarina	0	0	0	Actinomycetota
Commensalibacter	0	0	0	Pseudomonadota
Lottiidibacillus	0	0	0	Bacillota
Nioella	0	0	0	Pseudomonadota
Oscillatoria	0	0	0	Cyanobacteriota
Thermus	0	0	0	Deinococcota
Thioprofundum	0	0	0	Pseudomonadota
Fenollaria	0	0	0	Bacillota
Gracilibacter	0	0	0	Bacillota
Mangrovibacter	0	0.01666666667	0	Pseudomonadota
Wenxinia	0	0	0	Pseudomonadota
Winkia	0.01666666667	0.01666666667	0	Actinomycetota
Amnibacterium	0	0	0	Actinomycetota
Gelria	0	0	0	Bacillota
Luteococcus	0	0	0	Actinomycetota
Pseudopedobacter	0	0	0	Bacteroidota
RB41	0	0	0	Acidobacteriota
Salinirepens	0	0.01666666667	0	Bacteroidota
Sphaerimonospora	0	0	0	Actinomycetota
Thermaerobacter	0.01666666667	0.01666666667	0	Bacillota
Bowmanella	0.01666666667	0.01666666667	0	Pseudomonadota
Citreimonas	0	0	0	Pseudomonadota
Desulfobulbus	0	0	0	Thermodesulfobacteriota
Limnochorda	0	0	0	Bacillota
Mangrovibacterium	0.01666666667	0	0	Bacteroidota
Microbispora	0	0	0	Actinomycetota
Pseudobacteroides	0	0	0	Bacillota
Rhodoluna	0	0	0	Actinomycetota
Umezawaea	0	0	0	Actinomycetota
Allokutzneria	0.01666666667	0	0	Actinomycetota
Dissulfurimicrobium	0	0	0	Thermodesulfobacteriota
Geoanaerobacter	0	0	0	Thermodesulfobacteriota
Lachnospiraceae UCG-009	0	0	0	Bacillota
Moraxella	0	0	0	Pseudomonadota
Pseudochrobactrum	0	0	0	Pseudomonadota
UCG-009	0	0	0	Bacillota
Campylobacter	0	0	0	Campylobacterota
Lachnospiraceae AC2044 group	0	0	0	Bacillota
Mailhella	0	0	0	Thermodesulfobacteriota
Pelotomaculum	0	0	0	Bacillota
Rhodopirellula	0	0	0	Planctomycetota
Stomatobaculum	0	0	0	Bacillota
Tepidibacillus	0	0	0	Bacillota
[Clostridium] methylpentosum group	0	0	0	Bacillota
Lachnospiraceae UCG-007	0	0	0	Bacillota
Novimethylophilus	0	0	0	Pseudomonadota
Parvimonas	0	0	0	Bacillota
Pectinatus	0.01666666667	0	0	Bacillota
Aromatoleum	0	0	0	Pseudomonadota
Desulforhopalus	0	0	0	Thermodesulfobacteriota
Embleya	0.01666666667	0	0	Actinomycetota
Eubacterium	0	0	0	Bacillota
Granulicella	0.01666666667	0.01666666667	0	Acidobacteriota
Oscillibacter	0	0	0	Bacillota
Ruania	0	0	0	Actinomycetota
[Bacteroides] pectinophilus group	0	0	0	Bacillota
Morganella	0	0.01666666667	0	Pseudomonadota
Sulfurirhabdus	0	0	0	Pseudomonadota
